開學	kai1//xue2	verb school opens; term begins 九月一日開學。 Jiǔyuè yī rì kāixué. The term will begin on September 1.
季節	ji4jie2	noun season 旅遊季節 lǚyóu jìjié tourist season 農忙季節 Nóngmáng jìjié busy farming season
火鍋	huo3guo1	noun chafing dish; hotpot 火鍋底料 huǒguō dǐ liào (hotpot) broth 吃火鍋 chī huǒguō eat hotpot dishes 涮火鍋 shuàn huǒguō cook in a hotpot
海鮮	hai3xian1	noun seafood
新鮮	xin1xian1	adjective 1 fresh 新鮮空氣 xīnxian kōngqì fresh air 新鮮牛奶 xīnxian niúnǎi fresh milk 新鮮血液 xīnxian xuèyè fresh (or new) blood; new members (or forces); newcomer 新鮮的水果 xīnxian de shuǐguǒ fresh fruit 嘗個新鮮 Cháng ge xīnxian have a taste of what is just in season 魚有點兒不新鮮了。 yú yǒudiǎnr bù xīnxian le. The fish is slightly off. 2 new; novel; strange 新鮮經驗 xīnxian jīngyàn new (or fresh) experience 這話真新鮮。 Zhè huà zhēn xīnxian. That’s a strange thing to say.
櫻花	ying1hua1	noun oriental cherry 日本櫻花 Rìběn yīnghuā Japanese flowering cherry
變化	bian4hua4	noun change; variation 氣溫的變化 qìwēn de biànhuà variations (or fluctuations) of temperature 經歷重大變化 Jīnglì zhòngdà biànhuà undergo substantial changes (or huge transformations) 家鄉有了很大的變化。 jiāxiāng yǒule hěn dà debiànhuà. Great changes have taken place in my home village.  verb change; vary 變化無常 biànhuà-wúcháng constantly changing; changeable; capricious 他發球變化多端。 Tā fāqiú biànhuàduōduān. He has great variety in his serves. or He has tricky serves.
氣溫	qi4wen1	noun air (or atmospheric) temperature
差	cha1	noun 1 difference; dissimilarity 時差 shíchā jet lag See 18244096差別cha1bie2差別 2 mathematics difference 兩數之差為四。 Liǎng shù zhī chā wéi sì. The difference between the two figures is 4.  adverb literary only just; barely 差可 chākě barely passable
幾乎	ji1hu1	adverb almost; nearly; practically 幾乎不可能 jīhū bù kěnéng next to impossible; scarcely possible 幾乎沒摔倒 jīhū méi shuāidǎo nearly fall down 幾乎一夜沒睡 jīhū yī yè méi shuì lay awake almost the whole night 你比我幾乎高了一頭。 Nǐ bǐ wǒ jīhū gāo le yī tóu. You’re nearly a head taller than I. 故鄉變化太大, 我幾乎認不出來了。 gùxiāng biànhuà tài dà, wǒ jīhū rènbuchūlái le. My hometown had changed so much that I could hardly recognize it. 我在物理學方面的知識幾乎等於零。 Wǒ zài wùlǐxué fāngmiàn de zhīshi jīhū děngyú líng. My knowledge of physics is practically nil.
乾	gan1	adjective 1 dry (opp. 濕) 風乾 fēnggān air-dry 口乾 kǒugān feel thirsty 池塘快乾了。 Chítáng kuài gān le. The pond is drying up. 油漆未乾。 Yóuqī wèi gān. Wet paint. 2 empty; hollow; dry 錢都花乾了。 Qián dōu huā gān le. All the money is spent. 3 without substance; empty 乾號 gānháo cry aloud but shed no tears; affected wailing 4 of nominal kinship; (relatives) not linked by blood 乾媽 gānmā godmother 5 dialect (of speech) rude and blunt; impolite 說話太乾 shuōhuà tài gān speak too bluntly  adverb 1 in vain; futile; to no purpose; for nothing; with no result 別乾等了。 bié gān děng le. Let’s not waste time waiting. 2 only; with nothing else 乾靠這點兒錢 gān kào zhèdiǎnr qián depend only on this little money  noun dried food 豆腐乾兒 dòufugānr dried bean curd 葡萄乾兒 pútaogānr raisin  verb 1 dialect scold; embarrass sb. by making sarcastic remarks or complaining to their face 我又乾了他一頓。 Wǒ yòu gān le tā yī dùn. I scolded him again. 2 dialect leave sb. out in the cold; give sb. the cold shoulder; slight 把客人乾在一邊 bǎ kèrengān zài yībiān leave a guest unattended  measure word [usu. in the early vernacular, used of people] 若乾 ruògān several 一乾人馬 yī gān rénmǎ a group of soldiers
發霉	fa1//mei2	verb go mouldy; mildew; become mildewed
除濕機	chu2shi1ji1	dehumidifier
雨季	yu3ji4	noun meteorology rainy season; monsoon (opp. 旱季)
涼快	liang2kuai5	verb cool oneself; cool off 來吃點兒西瓜涼快涼快。 Lái chī diǎnr xīguā liángkuailiángkuai. Cool yourself with some watermelon. 咱們到樹陰下面涼快一下吧！ Zánmen dào shùyīn xiàmianliángkuai yīxià ba! Let’s sit in the shade and cool off a bit.  adjective nice and cool; pleasantly cool 這裡涼快, 坐下來歇會兒。 Zhèlǐ liángkuai, zuò xiàlai xiē huìr. It’s nice and cool here. Let’s sit down and have a rest.
潮濕	chao2shi1	adjective moist; damp (opp. 乾燥) 這間屋子太潮濕, 不適宜住人。 Zhè jiān wūzi tài cháoshī, bù shìyí zhù rén. This room is too damp to live in.
悶	men1	verb 1 (of brewing tea, cooking, etc.) cover tightly 悶一會兒, 茶味兒就出來了。 Mēn yīhuìr, chá wèir jiù chūlai le. Let the tea steep a while and the flavour will come out. 2 keep silent; say nothing; hold back 你有什麼事就說吧, 別悶在心裡。 Nǐ yǒu shénme shì jiù shuō ba, bié mēn zài xīnli. Why don’t you speak out instead of brooding. 3 shut oneself indoors 別老悶在屋裡看書, 出來活動活動。 Bié lǎo mēn zài wū lǐ kàn shū, chūlai huódòng huódòng. Don’t shut yourself indoors reading all day long; come outside and stretch your legs.  adjective 1 oppressive; stuffy; close; suffocating 這天兒真悶。 Zhètiānr zhēn mēn. It is very oppressive today. 開開窗吧, 屋裡太悶了。 Kāi kāi chuāng ba, wū lǐ tài mēn le. It’s too stuffy in here so open the windows. 我覺得胸口悶得慌。 Wǒ juéde xiōngkǒu mēn de huāng. I feel like I can’t breathe. 2 dialect (of sound) muffled 說話悶聲悶氣的 Shuōhuà mēn shēng mēnqì de speak in a muffled voice; hum and haw
冷氣	leng3qi4	noun 1 cold (or cool) air 2 air conditioning 有冷氣(設備) yǒu lěngqì be air-conditioned
荷蘭	He2lan2	the Netherlands; Holland
颳風	gua1feng1	be windy
受到	shou4dao4	receive; obtain
受不了	shou4bu5liao3	common phrase cannot stand (or endure) 凍得受不了 dòng de shòubuliǎo can’t stand the cold 今天可真熱得受不了。 Jīntiān kě zhēn rè de shòubuliǎo. It’s unbearably hot today.
餓死	e4si3	die of hunger; starve to death
後母	hou4mu3	noun stepmother
// 3.3 - 2
祖先	zu3xian1	noun ancestry; ancestors; forebears; forefathers
移民	yi2min2	noun emigrant; immigrant 非法移民 fēi fǎ yí mín illegal immigrants  verb (-//-) 1 migrate; emigrate; immigrate 2 relocate; resettle 三峽移民工程 Sān Xiá yímín gōngchéng relocation (or resettlement) project of the Three Gorges area
當中	dang1zhong1	noun 1 in the middle; in the centre 坐在主席臺當中 Zuò zài zhǔxítái dāngzhōng be seated in the centre of the rostrum 河當中水流最急。 Hé dāngzhōng shuǐliú zuì jí. The current is swiftest in the middle of the river. 2 among 從工人當中 Cóng gōngrén dāngzhōng from among the workers
根據	gen1ju4	noun basis; grounds; foundation 毫無根據 Háowú gēnjù utterly groundless 科學根據 kēxué gēnjù scientific basis 說話要有根據。 Shuōhuà yào yǒu gēnjù. One should avoid making assertions without good grounds.  preposition on the basis of; according to; in the light of; in line with 根據公報的精神 gēnjù gōngbào de jīngshén in the spirit of the communique 根據這樣的考慮 Gēnjù zhèyàng de kǎolǜ in line with these considerations 根據具體情況制訂計劃 gēnjù jùtǐ qíngkuàng zhìdìng jìhuà make a plan in the light of specific conditions 根據同名小說拍攝的影片 gēnjù tóngmíng xiǎoshuō pāishè de yǐngpiàn a film based on the novel of the same title 根據天氣預報, 明天要下雨。 Gēnjù tiānqì yùbào, míngtiān yào xià yǔ. According to the weather forecast, it’s going to rain tomorrow.
農曆	nong2li4	noun traditional Chinese calendar; lunar calendar (opp. 公曆)
農業	nong2ye4	noun agriculture; farming
農人	nong2ren2	noun dated farmer
難得	nan2de2	adjective 1 hard to come by; rare 難得的好機會 nándé de hǎo jīhuì a rare chance 這種草藥很難得。 Zhèzhǒng cǎoyào hěn nándé. This medicinal herb is hard to come by. 像他這樣的人很難得。 Xiàng tā zhèyàng de rén hěn nándé. There aren’t many like him. 他在一年之內兩次打破世界紀錄, 實在難得。 Tā zài yī nián zhīnèi liǎng cì dǎpò shìjiè jìlù, shízài nándé. He’s performed the rare feat of breaking a world record twice in one year. 2 seldom; rarely 她千年難得看書。 Tā qiānnián nándé kàn shū. She seldom, if ever, reads a book. 我們難得見面, 你多呆一會兒吧。 Wǒmennándé jiànmiàn, nǐ duō dāi yīhuìr ba. Do stay a bit longer, we seldom have a chance to get together.
祭祖	ji4zu3	sacrifice to ancestors
拜	bai4	verb 1 do obeisance 遙拜 yáobài worship from a distance 2 pay a courtesy call 回拜 huíbài pay a return visit 3 congratulate (on a specific occasion); salute See 17097728拜年bai4nian2拜年 4 visit; pay a visit 拜街坊 bài jiēfang visit one’s neighbours 5 confer a title on sb.; appoint 拜相 bàixiàng confer the title of Prime Minister on; appoint as Prime Minister 6 acknowledge sb. as one's master, godfather, etc. 我拜他為師學鋼琴。 Wǒ bài tā wéi shī xué gāngqín. I studied the piano with him. 7 polite [used before a verb to show respect] 拜謝 bàixiè express one's thanks
神	shen2	noun 1 god; deity; divinity; immortal 神鬼 shén-guǐ gods and ghosts 諸神 Zhū shén gods 命運之神 mìngyùn zhī shén the god of fortune 2 spirit; mind 耗神 hào shén take up one’s energy 雙目有神 shuāngmù yǒushén have a pair of piercing eyes 3 expression; look 眼神 yǎnshén expression in one’s eyes  adjective 1 supernatural; magical; miraculous 神投手 shén tóushǒu sharpshooter (in basketball); superb shooter (or scorer) 2 dialect smart; clever 這孩子真神！ Zhè háizi zhēn shén! What a smart child! 這家伙神了！ Zhè jiāhuo shén le! This fellow is incredible!
拜拜	bai4bai5	1 to pay one's respects by bowing with hands in front of one's chest clasping joss sticks, or with palms pressed together 2 (Tw) religious ceremony in which offerings are made to a deity
蚊蟲	wen2chong2	noun mosquito
戴	dai4	verb 1 put on; wear 戴眼鏡 dài yǎnjìng wear glasses 戴上手套 Dài shàng shǒutào put on one’s gloves 2 respect; honour 愛戴 àidài love and respect  noun (Dài) a surname
香包	xiang1bao1	noun pouch (small bag used by women)
掛	gua4	verb 1 hang; put up 把地圖掛在牆上。 Bǎ dìtú guà zài qiáng shàng. Put (or Hang) the map up on the wall. 2 remain unsettled; unresolved 這件事還掛著呢。 zhè jiàn shì hái guà zhene. The matter has not been settled yet. 3 hang up; ring off 你先別掛, 等我查一下。 Nǐ xiān bié guà, děng wǒ chá yīxià. Hold the line while I find out. 我還沒有來得及問他名字, 他就把電話掛了。 Wǒ hái méiyǒu láidejí wèn tā míngzi, tā jiù bǎ diànhuà guà le. He hung up (or rang off) before I could ask his name. 4 call (or phone, ring) up; put through to 我會再給他掛電話。 Wǒ huì zài gěi tā guà diànhuà. I’ll ring him again. 5 hitch; get caught; snag 她的衣服給釘子掛住了。 Tā de yīfu gěi dīngzi guà zhù le. Her dress got caught on a nail. 6 be concerned about 掛在心上 guà zài xīn shàng keep sth. in mind; be on one’s mind 7 covered (or coated) with 他臉上掛了一層塵土。 Tā liǎnshàng guà le yī céng chéntǔ. His face was covered with dust. 8 register (at a hospital, etc.) 我要掛外科。 Wǒ yào guà wàikē. I want to register for surgery. or Surgery, please. 9 stay (online) 她成天掛在網上。 Tā chéngtiān guà zài wǎng shàng. She is online the whole day.  measure word set or string (of objects) 一掛大車 Yī guà dà chē a horse and cart 一掛珠子 yī guà zhūzi a string of pearls 十多掛鞭炮 shí duō guà biānpào a dozen strings of firecrackers
瘟疫	wen1yi4	noun pestilence
做法	zuo4fa5	noun way of doing things; course of action; practice 習慣做法 xíguàn zuòfa habitual practice; habit 這種做法已經很普遍了。 Zhèzhǒng zuòfǎ yǐjing hěn pǔbiàn le. This has become common practice. 他現在的做法是行不通的。 Tā xiànzài de zuòfǎ shì xíngbutōng de. His present course of action will get him nowhere.
多少	duo1shao5	pronoun 1 how many; how much 這藥我每次吃多少？ Zhè yào wǒ měi cì chī duōshao？ How much of the medicine do I take each time? 這一班有多少學生？ Zhè yī bān yǒu duōshao xuésheng？ How many pupils are there in this class? 這裡的糧食畝產量是多少？ Zhèlǐ de liángshi mǔchǎnliàng shì duōshao？ What is the per mu yield of grain here? 2 [expressing an unspecified amount or number] 我知道多少說多少。 Wǒ zhīdao duōshao shuō duōshao. I’ll tell all I know. 我跟你說過不知多少次了。 Wǒ gēn nǐ shuō guò bù zhī duōshao cì le. How many times I’ve told you! or I’ve already told you many times.
作用	zuo4yong4	noun 1 action; function 化學作用 huàxué zuòyòng chemical action 心臟的作用 xīnzàng de zuòyòng the function of the heart; coronary function 2 effect 起作用 qǐ zuòyòng be effective 不起作用 bù qǐ zuòyòng ineffective; unworkable 起積極作用 qǐ jījí zuòyòng play a positive role 3 purpose; intention; motive 他說那句話有什麼作用？ Tā shuō nà jù huà yǒu shénme zuòyòng？ What did he say that for? 他那樣說是有他的作用的。 Tā nàyàng shuō shì yǒu tā de zuòyòng de. He said that with a motive.  verb act on; affect 外界事物作用於我們的感官, 在我們的頭腦中形成印象。 Wàijiè shìwù zuòyòng yú wǒmen de gǎnguān, zài wǒmen de tóunǎo zhōng xíngchéng yìnxiàng. External events act on our sense organs and create impressions in our brain.
迷信	mi2xin4	noun 1 superstition; superstitious belief 迷信思想 míxìn sīxiǎng superstitious beliefs 2 blind faith; blind worship 個人迷信 gèrén míxìn worship of the individual; hero worship 破除迷信思想 pòchú míxìn sīxiǎng do away with fetishes and superstitions  verb have blind faith in; make a fetish of 迷信權威 míxìn quánwēi have blind faith in authority; worship authority 迷信書本 míxìn shūběn book worship
收成	shou1cheng5	noun harvest; crop 收成不好 shōucheng bù hǎo poor harvests; crop failures 從來沒有過的好收成 cónglái méiyǒu guò de hǎo shōucheng a record harvest 奪得秋季作物的好收成 duódé qiūjì zuòwù de hǎo shōucheng reap a good autumn harvest
民族	min2zu2	noun nation; nationality; ethnic group 民族大家庭 mínzú dàjiātíng large family of ethnic groups 民族雜居地區 mínzú zájū dìqū multi-national area; multi-ethnic region 國內各民族的團結 guónèi gè mínzú de tuánjié unity of our various ethnic groups
月亮	yue4liang5	noun moon 月亮門 yuèliangmén moon gate 月亮地兒 yuèliangdìr place where there is moonlight; moonlit spot 月亮出來了。 yuèliang chūlai le. The moon comes out (or has risen).
圓	yuan2	noun 1 mathematics circle; sphere; ring 計算圓的面積 jìsuàn yuán de miànji work out the area of a circle 2 coin of fixed value and weight 銀圓 yínyuán silver dollar  verb make plausible; justify 好夢難圓。 hǎo mèng nán yuán. Good dreams seldom come true.  adjective 1 round; circular; spherical 眼睜得滴溜圓 Yǎn zhēng de dīliuyuán open one’s eyes wide 月圓了。 Yuè yuán le. The moon is full. See 76490979圓銼yuan2cuo4圓銼;76500707圓孔yuan2kong3圓孔 2 tactful; satisfactory 他這話說得不圓。 Tā zhè huà shuō de bù yuán. What he said was not very tactful. 3 (of a voice) sweet and agreeable See 78124259字正腔圓zi4zheng4qiang1yuan2字正腔圓  measure word yuan (monetary unit of China, equal to 10 jiao or 100 fen)
社會	she4hui4	noun society; community 國際社會 guójì shèhuì international community 人類社會 rénlèi shèhuì human society
團聚	tuan2ju4	verb 1 reunite 夫妻團聚 fūqī tuánjù couple reunion 全家團聚 Quánjiā tuánjù family reunion 2 unite and gather
月餅	yue4bing5	noun moon cake (esp. for the Mid-Autumn Festival)
柚子	you4zi5	noun general name for shaddock; pomelo
故事	gu4shi5	noun 1 story; tale 講故事 jiǎng gùshi tell a story 神話故事 shénhuàgùshi mythical story 2 plot 這部小說故事性很強。 Zhè bù xiǎoshuō gùshi xìng hěn qiáng. The novel has a strong plot.
溫馨	wen1xin1	adjective soft and sweet; warm 溫馨的春夜 wēnxīn de chūn yè a balmy spring evening 溫馨的情誼 wēnxīn de qíngyì warm friendship
端五節	duan1wu3jie2	noun Dragon Boat Festival (the 5th day of the 5th lunar month)
中秋節	Zhong1qiu1jie2	noun Mid-autumn Festival (15th day of the eighth lunar month); Family Reunion Festival
雄黃酒	xiong2huang2jiu3	realgar wine (traditionally drunk during the Dragon Boat Festival (端午節) to ward off poisonous creatures)
古時候	gu3shi2hou5	1 in ancient times 2 in olden days
趕走	gan3//zou3	verb drive away; drive out 趕走敵人 gǎnzǒu dírén drive away the enemy
過節	guo4//jie2	verb celebrate a festival 過(完)節後咱們就開始做新的工作。 Guòjié hòu zánmen jiù kāishǐ zuò xīn de gōngzuò. After the Festival, we’ll start something new. 你打算在哪兒過節？ Nǐ dǎsuan zài nǎrguòjié? Where do you plan to spend the festival?
// 3.4 - 1
愛	ai4	noun love; affection 母愛 mǔ'ài maternal love 父愛 fù'ài paternal love 夫妻之愛 fūqī zhī ài conjugal love 狂熱的愛 kuángrè de'ài wild love; madly in love 把愛傾注在孩子身上 bǎ ài qīngzhù zài háizi shēnshang heap affection on one’s child; smother one’s child with love  verb 1 love 愛和平 ài hépíng love peace; peace-loving 愛祖國 Ài zǔguó love one’s country 溺愛孩子 nì'ài háizi dote on one’s children; spoil a child 2 like; fond of; keen on 愛下棋 ài xiàqí keen on chess 愛出風頭 ài chū fēngtou fond of the limelight; like attention 酷愛 kù'ài have an excessive fondness of; dead keen on 只愛聽恭維話, 不愛聽批評話 Zhǐ ài tīng gōngweihuà, bù ài tīng pīpíng huà. fond of flattery but deaf to criticism 我不愛跟他來往。 Wǒ bù ài gēn tā láiwǎng. I don’t like having anything to do with him. 3 cherish; treasure; hold dear; take good care of 愛公物 Ài gōngwù look after public property 愛廠如家 àichǎngrújiā treat the factory like one’s family 愛集體榮譽 ài jítǐ róngyù cherish the good name of the group 4 apt to; in the habit of 愛頭疼 ài tóuténg often get headaches; prone to headaches 愛暈車 ài yùnchē get carsick 愛發脾氣 ài fā píqi irritable; short-tempered 不愛誇人 bù ài kuā rén seldom praise others 鐵愛生鏽。 Tiě ài shēngxiù. Iron rusts easily.
人情味	ren2qing2wei4	noun human touch; human interest; empathy 這故事很有人情味。 Zhè gùshi hěn yǒu rénqíngwèi. The story is warmly human. 他這個人, 一點兒人情味都沒有。 tā zhège rén, yīdiǎnrrénqíngwèi dōu méiyǒu. That chap! He has no human feelings whatsoever.
放	fang4	verb 1 let go; set free; release 放他走 fàng tā zǒu let him go 把俘虜放了 bǎ fúlǔ fàng le release the captives 抓住繩子不放 zhuāzhù shéngzi bù fàng won’t let go of the rope 把游泳池裡的水放掉 bǎ yóuyǒngchí lǐ de shuǐ fàng diào let the water out of the swimming pool 2 give way to; let oneself go See 20836096放膽fang4dan3放膽;20852224放聲fang4sheng1 放聲 3 put out to feed; graze 放牛 fàngniú put cattle out to pasture; graze cattle 放鴨子 fàng yāzi put ducks out to feed in a pond, stream, etc. 4 let off; give off (or out) 放箭 fàng jiàn shoot an arrow 放槍 fàngqiāng fire a gun 放爆竹 fàng bàozhú set off firecrackers 放風箏 fàng fēngzheng fly a kite 鍋爐放汽了。 Guōlú fàng qì le. The boiler is letting off steam. 月亮本身不放光。 Yuèliang běnshēn bù fàng guāng. The moon does not give off light by itself. 5 show (a film, etc.); play (a record, etc.) 放錄像 fàng lùxiàng play a video tape 放錄音 fàng lùyīn play back a recording 放幻燈片 fàng huàndēngpiàn show some lantern slides 放點兒音樂聽聽 fàng diǎnr yīnyuè tīngting play some music records (or tapes) 6 light; kindle See 20839936放火fang4huo3放火 7 lend (money) at interest; loan 他的錢全放出去了, 一時收不回來。 Tā de qián quán fàng chūqu le, yīshí shōu bù huílai. All his money has been loaned out. He can’t get it back for the moment. 8 make larger or longer; let out; let down 放幾張相片 Fàng jǐ zhāng xiàng piān have a few photos enlarged 把這條裙子放長一點兒。 Bǎ zhè tiáo qúnzi fàng cháng yīdiǎnr. Let out the hem on this skirt a little. 褲腰要放一釐米。 Kùyāo yào fàng yī límǐ. Please let these trousers out 1 cm at the waist. 9 moderate (one's attitude or behaviour) 放老實點兒！ Fàng lǎoshi diǎnr! You behave yourself! 放明白些。 Fàng míngbai xiē. Be sensible. 放低聲音慢慢地說。 Fàng dī shēngyīn mànmàn de shuō. Lower your voice and speak slowly. 腳步請放輕些！ Jiǎobù qǐng fàng qīng xiē! Tread softly, please. 把速度放慢點兒。 Bǎ sùdù fàngmàn diǎnr. Slow down a little. 10 (of flowers) blossom; open 花園裡百花齊放。 Huāyuán lǐ bǎihuā qí fàng. The garden is blooming with flowers. 11 put; place; lay 把書放在桌上。 Bǎ shū fàng zài zhuō shàng. Put the book on the desk. 你來放碗筷吧。 Nǐ lái fàng wǎn-kuài ba. Will you set the table for dinner? 她放下筆, 拿起書。 Tā fàngxia bǐ, ná qǐ shū. She laid down her pen and took up a book. 湯裡放點兒胡椒粉。 Tāng lǐ fàng diǎnr hújiāofěn. Put some pepper in the soup. 把人民利益放在個人利益之上。 Bǎ rénmín lìyì fàng zài gèrén lìyì zhīshàng. Place the interests of the people above personal interests. 12 colloquial cause sth. (or sb.) to fall to the ground 上山放樹 Shàngshān fàng shù go to the mountains to fell trees 他三下兩下就把那個壞蛋放倒了。 Tā sān xià liǎng xià jiù bǎ nàge huàidàn fàng dào le. With just a few blows, he knocked the hooligan down to the ground. 13 lay aside; store away (for future use); keep 鮮牛奶不能放得太久。 Xiān niúnǎi bù néng fàng de tài jiǔ. Fresh milk won’t keep long. 這魚怕放不住。 Zhè yú pà fàng bù zhù. This fish won’t keep, I’m afraid. 這事不急, 先放一放再說。 Zhè shì bù jí, xiān fàng yī fàng zàishuō. It’s not an urgent matter. Let’s lay it aside for the moment. 14 [followed by 著…不…] allow sth. to remain (undone, untaken, unused, etc.) 怎麼了, 放著覺不睡, 卻到處亂跑？ Zěnme le,  fàng zhe jiào bù shuì, què dàochù luànpǎo？ Why are you running around instead of going to bed? 放著這麼多好書不看, 多可惜啊！ fàng zhe zhème duō hǎo shū bù kàn, duō kěxī a! What a pity all these fine books are left untouched!
天燈	tian1deng1	sky lantern (miniature hot-air balloon used during festivals)
願望	yuan4wang4	noun desire; wish; aspiration 主觀願望 zhǔguān yuànwàng subjective desire 良好的願望 liánghǎo de yuànwàng good intention 從團結的願望出發 Cóng tuánjié de yuànwàng chūfā start from the desire for unity 全世界人民的共同願望 quánshìjiè rénmín de gòngtóng yuànwàng common aspirations of the world’s people
訊號	xun4hao4	noun 1 radio signal 2 signal
元宵	yuan2xiao1	noun 1 (Yuánxiāo) 15th night of the 1st lunar month 鬧元宵 nào yuán xiāo celebrate the Lantern Festival 2 foodstuffs yuanxiao; sweet dumplings made of glutinous rice flour
牆	qiang2	noun 1 wall 城墻 chéngqiáng city wall 2 anything shaped or functioning like a wall 人墻 rénqiáng human wall
耐心	nai4xin1	adjective patient (opp. 急躁) 耐心等待 nàixīn děngdài wait patiently 耐心點兒, 會有機會的。 nàixīn diǎnr, huì yǒu jīhuì de. Be patient, your time will come.  noun patience 失去耐心 Shīqù nàixīn lose one’s patience; be out of patience
感動	gan3dong4	verb move; touch; affect 感動得流淚 gǎndòng de liúlèi be moved to tears 深為感動 shēnwéi gǎndòng be deeply touched
擔仔麵	dan4zai3mian4	ta-a noodles or danzai noodles, popular snack originating from Tainan
招牌	zhao1pai5	noun shop sign; signboard 打著人道主義的招牌 Dǎ zhe réndàozhǔyì de zhāopai under the guise of humanitarianism 據說這招牌是一位名書法家寫的。 Jùshuō zhè zhāopai shì yī wèi míng shūfǎjiā xiě de. This signboard is said to have been written by a famous calligrapher.
當地	dang1di4	noun place in question; locality 當地人 dāngdìrén local people 當地居民 dāngdìjūmín local inhabitants 當地土特產 dāngdì tǔtèchǎn special local products
賺	zhuan4	verb 1 make a profit; gain (opp. 賠) 這家商行做出口生意賺得可多了。 Zhè jiā shāngháng zuò chūkǒu shēngyi zhuàn de kě duō le. The firm made large profits from exports. 2 dialect earn (money)  noun colloquial profit
而	er2	conjunction 1 and; as well as 偉大而艱巨的任務 wěidà ér jiānjù de rènwu great and arduous task 2 and yet; but; while on the other hand 有其名而無其實 Yǒu qí míng ér wú qíshí in name but not in reality 你喜愛體育運動, 而我呢, 情願看書。 Nǐ xǐ'ài tǐyù yùndòng,  ér wǒ ne, qíngyuàn kàn shū. You like sports, while I’d rather read. 這裡的氣候有利於種小麥, 而不利於種水稻。 Zhèlǐ de qìhòu yǒulì yú zhòng xiǎomài, ér bù lìyú zhòng shuǐdào. The climate here is favourable to the growth of wheat but unfavourable to the growth of rice. 3 so that; in order to 不要因失敗而灰心, 也不要因成功而驕傲。 Bùyào yīn shībài ér huīxīn, yě bùyào yīn chénggōng ér jiāo'ào. Don’t be discouraged by failure or get dizzy with success. 4 [with 由, 從, 自,  etc.] to 由南而北 Yóu nán ér běi from south to north 自遠而近 zìyuǎn'érjìn approach from a distance 由童年而少年, 而壯年 yóu tóngnián ér shàonián, ér zhuàngnián from childhood to teenage, then to middle age 5 [connecting an adverbial element to a verb] 匆匆而去 cōngcōng'érqù leave in haste 盤旋而上 pánxuán ér shàng spiral up 順流而下 shùnliú'érxià go down the stream 6 [between a subject and a predicate expressing a condition, to be followed by a clause indicating result] if 作家而不深入群眾, 就寫不出好作品。 Zuòjiā ér bù shēnrù qúnzhòng, jiù xiěbuchū hǎo zuòpǐn. If a writer does not go deep among the masses, he cannot expect to turn out good writings.
交	jiao1	noun 1 friend; acquaintance; friendship; relationship 邦交 bāngjiāo diplomatic relations 知交 zhījiāo intimate friend 多年之交 Duō nián zhī jiāo a friendship of many years 2 business transaction; deal; bargain 成交 chéngjiāo strike a bargain  verb 1 hand in (or over); give up; turn over; deliver 交班 jiāobān hand over a duty 交船 jiāo chuán delivery of vessel 交活兒 jiāo huór turn over a finished item (or product) 交稅 jiāoshuì pay tax 交作業 jiāo zuòyè hand in one’s homework 交鑰匙工程 jiāo yàoshi gōngchéng turn-key project 把任務交給某人 bǎ rènwujiāo gěi mǒurén assign the task to sb.; entrust sb. with a task 小偷已送交警方。 xiǎotōu yǐ sòng jiāo jǐngfāng. The thief was handed over to the police. 2 (of places or periods of time) cross; meet; join 春夏之交 chūn-xiàzhījiāo when spring is changing into summer 世紀之交 shìjìzhījiāo at the turn of the century 位於四縣之交 Wèiyú sì xiàn zhī jiāo stand where the boundaries of four counties meet 3 reach (a certain hour or season); set in; come 交好運 jiāo hǎoyùn have good luck 交冬以後 jiāo dōng yǐhòu when winter has set in 明天就交夏至了。 Míngtiān jiù jiāo Xiàzhì le. Tomorrow will be the Summer Solstice. 4 cross; intersect 這兩條直線交於Ｐ點。 Zhè liǎng tiáo zhíxiàn jiāo yú P diǎn. The two lines intersect at P. 5 associate with 交朋友 jiāo péngyou make friends 6 have sexual intercourse 亂交 luànjiāo sexual promiscuity 7 mate; breed 雜交 zájiāo crossbreed  adverb 1 mutually; reciprocally; each other See 23932160交換jiao1huan4交換 2 together; simultaneously 驚喜交集 jīng xǐ jiāo jí astonishment mingled with amusement  VARIANT OF 23923720跤jiao1跤 noun fall
理想	li3xiang3	noun ideal; dream; aspiration 實現遠大理想 shíxiàn yuǎndà lǐxiǎng realize one’s ambitious aims 樹立崇高理想 shùlì chónggāo lǐxiǎng establish lofty ideal 在現實面前, 他的理想都破滅了。 Zài xiànshí miànqián, tā de lǐxiǎng dōu pòmiè le. All his ideals were destroyed by actualities.  adjective ideal; perfect 理想效果 lǐxiǎng xiàoguǒ optimum effect 理想的伴侶 lǐxiǎng de bànlǚ ideal companion 考得不夠理想 kǎo de bùgòu lǐxiǎng didn’t do well in the exam 在理想狀態下 zài lǐxiǎng zhuàngtài xià in an ideal environment 野餐的理想天氣 yěcān delǐxiǎng tiānqì perfect weather for a picnic
