// 3.2 - 1
外套	wai4tao4	noun 1 overcoat 2 loose coat; outer garment
乾	gan1	adjective 1 dry (opp. 濕) 風乾 fēnggān air-dry 口乾 kǒugān feel thirsty 池塘快乾了。 Chítáng kuài gān le. The pond is drying up. 油漆未乾。 Yóuqī wèi gān. Wet paint. 2 empty; hollow; dry 錢都花乾了。 Qián dōu huā gān le. All the money is spent. 3 without substance; empty 乾號 gānháo cry aloud but shed no tears; affected wailing 4 of nominal kinship; (relatives) not linked by blood 乾媽 gānmā godmother 5 dialect (of speech) rude and blunt; impolite 說話太乾 shuōhuà tài gān speak too bluntly  adverb 1 in vain; futile; to no purpose; for nothing; with no result 別乾等了。 bié gān děng le. Let’s not waste time waiting. 2 only; with nothing else 乾靠這點兒錢 gān kào zhèdiǎnr qián depend only on this little money  noun dried food 豆腐乾兒 dòufugānr dried bean curd 葡萄乾兒 pútaogānr raisin  verb 1 dialect scold; embarrass sb. by making sarcastic remarks or complaining to their face 我又乾了他一頓。 Wǒ yòu gān le tā yī dùn. I scolded him again. 2 dialect leave sb. out in the cold; give sb. the cold shoulder; slight 把客人乾在一邊 bǎ kèrengān zài yībiān leave a guest unattended  measure word [usu. in the early vernacular, used of people] 若乾 ruògān several 一乾人馬 yī gān rénmǎ a group of soldiers
發霉	fa1//mei2	verb go mouldy; mildew; become mildewed
除濕機	chu2shi1ji1	dehumidifier
雨季	yu3ji4	noun meteorology rainy season; monsoon (opp. 旱季)
涼快	liang2kuai5	verb cool oneself; cool off 來吃點兒西瓜涼快涼快。 Lái chī diǎnr xīguā liángkuailiángkuai. Cool yourself with some watermelon. 咱們到樹陰下面涼快一下吧！ Zánmen dào shùyīn xiàmianliángkuai yīxià ba! Let’s sit in the shade and cool off a bit.  adjective nice and cool; pleasantly cool 這裡涼快, 坐下來歇會兒。 Zhèlǐ liángkuai, zuò xiàlai xiē huìr. It’s nice and cool here. Let’s sit down and have a rest.
潮濕	chao2shi1	adjective moist; damp (opp. 乾燥) 這間屋子太潮濕, 不適宜住人。 Zhè jiān wūzi tài cháoshī, bù shìyí zhù rén. This room is too damp to live in.
悶	men1	verb 1 (of brewing tea, cooking, etc.) cover tightly 悶一會兒, 茶味兒就出來了。 Mēn yīhuìr, chá wèir jiù chūlai le. Let the tea steep a while and the flavour will come out. 2 keep silent; say nothing; hold back 你有什麼事就說吧, 別悶在心裡。 Nǐ yǒu shénme shì jiù shuō ba, bié mēn zài xīnli. Why don’t you speak out instead of brooding. 3 shut oneself indoors 別老悶在屋裡看書, 出來活動活動。 Bié lǎo mēn zài wū lǐ kàn shū, chūlai huódòng huódòng. Don’t shut yourself indoors reading all day long; come outside and stretch your legs.  adjective 1 oppressive; stuffy; close; suffocating 這天兒真悶。 Zhètiānr zhēn mēn. It is very oppressive today. 開開窗吧, 屋裡太悶了。 Kāi kāi chuāng ba, wū lǐ tài mēn le. It’s too stuffy in here so open the windows. 我覺得胸口悶得慌。 Wǒ juéde xiōngkǒu mēn de huāng. I feel like I can’t breathe. 2 dialect (of sound) muffled 說話悶聲悶氣的 Shuōhuà mēn shēng mēnqì de speak in a muffled voice; hum and haw
冷氣	leng3qi4	noun 1 cold (or cool) air 2 air conditioning 有冷氣(設備) yǒu lěngqì be air-conditioned
荷蘭	He2lan2	the Netherlands; Holland
颳風	gua1feng1	be windy
受到	shou4dao4	receive; obtain
受不了	shou4bu5liao3	common phrase cannot stand (or endure) 凍得受不了 dòng de shòubuliǎo can’t stand the cold 今天可真熱得受不了。 Jīntiān kě zhēn rè de shòubuliǎo. It’s unbearably hot today.
餓死	e4si3	die of hunger; starve to death
後母	hou4mu3	noun stepmother
